                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.1598,                 1.3922,                 1.9836,                0.42911,                0.71103,                0.55053,                0.41962,                 1.1577,                 2.0762,                 1.9818,             0.00088309,             0.00088309,             0.00088309
                     97,                 1.1165,                 1.4465,                 1.9993,                0.48559,                   0.55,                0.53052,                0.40044,                 1.2254,                 2.0783,                  2.075,             0.00087484,             0.00087484,             0.00087484
                     98,                 1.1132,                 1.3545,                  1.971,                0.48559,                   0.55,                0.53052,                0.40044,                 1.2254,                 2.0783,                  2.075,             0.00086659,             0.00086659,             0.00086659
                     99,                  1.116,                 1.3449,                 2.0022,                 0.4492,                0.80333,                0.60763,                 0.4538,                 1.1376,                 2.1583,                 1.9096,             0.00085834,             0.00085834,             0.00085834
                    100,                 1.1399,                 1.4252,                 1.9346,                0.45763,                0.76333,                 0.6177,                0.47781,                 1.0605,                 2.3842,                 1.8481,             0.00085009,             0.00085009,             0.00085009
                    101,                0.98202,                 1.3068,                 1.9513,                0.51244,                0.47333,                0.46876,                0.31627,                 1.6557,                  3.738,                 2.8342,             0.00084184,             0.00084184,             0.00084184
                    102,                 1.0277,                 1.3302,                 1.9499,                0.49869,                0.45521,                0.45439,                0.30377,                 1.7681,                 4.1228,                 3.0325,             0.00083358,             0.00083358,             0.00083358
                    103,                 1.0462,                 1.2708,                 1.9486,                0.46017,                   0.42,                0.43834,                0.28941,                 1.7711,                 4.0735,                 3.0463,             0.00082533,             0.00082533,             0.00082533
                    104,                 1.0863,                 1.2929,                 1.9533,                0.47639,                 0.4561,                 0.4475,                0.31471,                 1.7685,                 4.5354,                 3.1251,             0.00081708,             0.00081708,             0.00081708
                    105,                 1.0206,                 1.2853,                 1.9512,                0.47836,                0.46333,                0.46569,                0.35222,                 1.6298,                 3.3723,                 2.9079,             0.00080883,             0.00080883,             0.00080883
                    106,                 1.0769,                 1.3646,                 1.9433,                0.47836,                0.46333,                0.46569,                0.35222,                 1.6298,                 3.3723,                 2.9079,             0.00080058,             0.00080058,             0.00080058
                    107,                 1.0466,                 1.3103,                 1.8525,                0.50677,                   0.42,                0.46245,                0.30914,                 1.7344,                  3.062,                 3.0671,             0.00079233,             0.00079233,             0.00079233
                    108,                 1.0349,                 1.2543,                 1.8983,                0.46998,                0.36886,                0.39725,                0.23753,                 1.9228,                 3.2876,                 3.2424,             0.00078407,             0.00078407,             0.00078407
                    109,                 1.1226,                  1.409,                 1.9578,                0.49572,                0.40333,                0.42823,                0.25315,                 1.9468,                 3.2685,                 3.2534,             0.00077582,             0.00077582,             0.00077582
                    110,                 1.1062,                 1.2993,                 1.9478,                0.44506,                0.50947,                0.46183,                0.31988,                 1.6044,                 2.9019,                  2.715,             0.00076757,             0.00076757,             0.00076757
                    111,                  1.149,                 1.3518,                 1.9368,                0.50184,                 0.4493,                0.47095,                0.35628,                 1.3674,                 2.7227,                 2.3258,             0.00075932,             0.00075932,             0.00075932
                    112,                 1.0297,                 1.2198,                 1.8484,                0.46231,                   0.47,                0.46727,                 0.3507,                 1.3719,                  2.712,                  2.317,             0.00075107,             0.00075107,             0.00075107
                    113,                  1.025,                 1.1728,                 1.9037,                0.46231,                   0.47,                0.46727,                 0.3507,                 1.3719,                  2.712,                  2.317,             0.00074282,             0.00074282,             0.00074282
                    114,                 0.9922,                 1.1899,                  1.909,                0.50136,                0.43429,                0.45099,                0.29562,                 1.5938,                  2.947,                  2.659,             0.00073456,             0.00073456,             0.00073456
                    115,                0.98736,                 1.2224,                 1.8942,                0.46896,                   0.42,                0.44281,                0.28957,                 1.5554,                 2.9061,                  2.598,             0.00072631,             0.00072631,             0.00072631
                    116,                0.99794,                  1.161,                 1.8845,                0.47781,                0.46535,                0.47294,                0.31386,                 1.3924,                 2.9515,                 2.2916,             0.00071806,             0.00071806,             0.00071806
                    117,                0.99062,                 1.2127,                 1.8723,                0.45697,                0.46611,                0.45506,                0.33095,                 1.3978,                 3.2761,                 2.4183,             0.00070981,             0.00070981,             0.00070981
                    118,                0.98223,                 1.1597,                 1.8749,                 0.4845,                0.45508,                0.45416,                0.30807,                 1.5731,                 3.5217,                 2.7514,             0.00070156,             0.00070156,             0.00070156
                    119,                 1.0373,                 1.2457,                 1.9063,                0.47984,                0.39686,                0.43406,                0.28432,                 1.7938,                  3.837,                 3.1209,             0.00069331,             0.00069331,             0.00069331
                    120,                0.90858,                 1.1127,                  1.803,                0.47984,                0.39686,                0.43406,                0.28432,                 1.7938,                  3.837,                 3.1209,             0.00068505,             0.00068505,             0.00068505
                    121,                0.96651,                 1.2354,                 1.8326,                 0.4543,                   0.42,                0.44046,                0.27739,                 1.8868,                  3.401,                 3.2409,              0.0006768,              0.0006768,              0.0006768
                    122,                0.96323,                 1.1715,                 1.7761,                0.49317,                0.41621,                0.43437,                0.27476,                 1.8571,                 2.9005,                 3.1639,             0.00066855,             0.00066855,             0.00066855
