                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.5008,                 1.7492,                 1.9727,                0.21578,                0.42961,                0.18896,                0.09879,                 1.7911,                 2.4687,                 2.2097,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.4863,                 1.6455,                 2.0028,                0.23813,                0.44178,                0.19191,                0.10672,                 1.6546,                 2.7577,                 2.0826,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.3591,                 1.5932,                 1.9302,                0.24036,                0.46308,                0.21982,                 0.1247,                 1.5858,                 2.7734,                 1.9921,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.5173,                 1.6713,                 1.9952,                0.24036,                0.46308,                0.21982,                 0.1247,                 1.5858,                 2.7734,                 1.9921,             0.00094911,             0.00094911,             0.00094911
                     89,                 1.5309,                 1.7418,                 2.0101,                0.21873,                0.52412,                0.21933,                0.12123,                 1.6606,                 2.6395,                 2.0731,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.4362,                  1.659,                  1.931,                0.26589,                0.54002,                0.29201,                0.16581,                 1.6806,                 2.1319,                 2.1049,              0.0009326,              0.0009326,              0.0009326
                     91,                 1.4857,                    1.7,                 1.9968,                 0.3267,                    0.5,                0.32671,                0.19637,                 1.5655,                  1.961,                 2.0051,             0.00092435,             0.00092435,             0.00092435
                     92,                 1.3723,                 1.6662,                  1.911,                0.39875,                0.41466,                0.29022,                0.16498,                  1.602,                 2.0488,                 2.0553,              0.0009161,              0.0009161,              0.0009161
                     93,                 1.3776,                  1.643,                 1.8697,                0.32851,                0.45124,                0.30447,                  0.177,                 1.5468,                 1.9551,                  2.005,             0.00090785,             0.00090785,             0.00090785
                     94,                 1.3958,                 1.5685,                 1.8443,                 0.3369,                0.44225,                0.31411,                0.17098,                 1.6291,                 1.9678,                 2.0723,              0.0008996,              0.0008996,              0.0008996
                     95,                 1.4169,                 1.6151,                  1.949,                0.23246,                0.44901,                0.23053,                0.11569,                 1.7797,                 2.2472,                 2.2113,             0.00089134,             0.00089134,             0.00089134
